"Story","Title","Result","Date","Stability","Duration (s)"
"Crear pregunta","Crear una pregunta","FAILURE","2023-04-26T13:04:23.0296665-05:00[America/Bogota]","0.0","21.25"
"Eliminar pregunta","Eliminar pregunta","FAILURE","2023-04-26T13:04:52.1366856-05:00[America/Bogota]","0.0","13.63"
"Ver informacion de un usuarios en la base de datos","Peticion exitosa","FAILURE","2023-04-26T13:05:06.0805502-05:00[America/Bogota]","0.0","1.8"
"Crear usuario ne la base de datos","Peticion exitosa","FAILURE","2023-04-26T13:05:09.5767471-05:00[America/Bogota]","0.0","3.06"
"Crear usuario ne la base de datos","Peticion fallida","FAILURE","2023-04-26T13:05:12.6436979-05:00[America/Bogota]","0.0","4.22"
"Modificar informacion de un usuarios en la base de datos","Peticion exitosa","FAILURE","2023-04-26T13:05:17.034821-05:00[America/Bogota]","0.0","2.49"
