"Story","Title","Result","Date","Stability","Duration (s)"
"Crear usuario ne la base de datos","Peticion exitosa","FAILURE","2023-04-26T13:05:09.5767471-05:00[America/Bogota]","0.0","3.06"
"Crear usuario ne la base de datos","Peticion fallida","FAILURE","2023-04-26T13:05:12.6436979-05:00[America/Bogota]","0.0","4.22"
